Account Type,Transaction Date,Cheque Number,Description 1,Description 2,CAD$,USD$
Chequing,11/13/2024,,BILL PAYMENT,Credit Card,-1255.59,
Chequing,11/25/2024,,Transfer,WWW TRANSFER,91.36,
Chequing,11/25/2024,,INSURANCE,Insurer,271.00,
Chequing,11/25/2024,,MISC PAYMENT,Hydro,-57.10,
Chequing,12/2/2024,,Email Trfs,E-TRANSFER SENT ,-10.00,
Chequing,12/9/2024,,Payment,WWW PAYMENT,-1666.00,
Chequing,1/3/2025,,GST,CANADA ,129.75,
Chequing,2/3/2025,,MISC PAYMENT,Rental Office,-200.00,
Chequing,2/6/2025,,MONTHLY FEE,,-4.00,
Chequing,2/7/2025,,PAYROLL DEPOSIT,EMPLOYER,317.41,
Chequing,2/24/2025,,MOBILE DEP,,200.00,
XXXXXXXXXXXXXXX1
