Following data is valid as of 20240622195022:

Item #,Card #,Transaction Date,Posting Date,Transaction Amount,Description
1,'XXXXXXXXXXXXXXX2',20240522,20240523,15.47,CLOUDFLARE
2,'XXXXXXXXXXXXXXX2',20240529,20240530,16.6,HARVEYS
3,'XXXXXXXXXXXXXXX2',20240530,20240603,122.01,CANADIAN TIRE
4,'XXXXXXXXXXXXXXX2',20240601,20240603,7.44,McDonalds
5,'XXXXXXXXXXXXXXX2',20240604,20240605,55.95,LOBLAW
6,'XXXXXXXXXXXXXXX2',20240606,20240607,1073.49,BEST BUY
7,'XXXXXXXXXXXXXXX2',20240611,20240612,59.82,IKEA
8,'XXXXXXXXXXXXXXX2',20240612,20240613,35.23,METRO
9,'XXXXXXXXXXXXXXX2',20240612,20240614,106.94,WAL-MART
10,'XXXXXXXXXXXXXXX2',20240614,20240617,86.14,LOBLAWS
11,'XXXXXXXXXXXXXXX2',20240615,20240617,13.1,BAR & GRILL
12,'XXXXXXXXXXXXXXX2',20240618,20240619,53.21,SHELL GAS
13,'XXXXXXXXXXXXXXX2',20240527,20240528,-507.37,PAYMENT RECEIVED - THANK YOU
